index,video_id,label,new_path,url
1,Q92XMo8tX14,명문대 나와도 불행한 이유,artifacts/bzcf_thumbnails/thumbs/001_명문대 나와도 불행한 이유.jpg,https://www.youtube.com/watch?v=Q92XMo8tX14
2,4qgkk-gVolg,실리콘밸리 대물의 생각,artifacts/bzcf_thumbnails/thumbs/002_실리콘밸리 대물의 생각.jpg,https://www.youtube.com/watch?v=4qgkk-gVolg
3,LOgOClpa59w,애플 대표는 역시 다르다,artifacts/bzcf_thumbnails/thumbs/003_애플 대표는 역시 다르다.jpg,https://www.youtube.com/watch?v=LOgOClpa59w
4,TR__iP-x3Kk,AI? 사람 더 뽑는다 (듀오링고),artifacts/bzcf_thumbnails/thumbs/004_AI 사람 더 뽑는다 (듀오링고).jpg,https://www.youtube.com/watch?v=TR__iP-x3Kk
5,bsrvNVzaYrU,워렌버핏 주주총회 인터뷰 전체번역 (최신),artifacts/bzcf_thumbnails/thumbs/005_워렌버핏 주주총회 인터뷰 전체번역 (최신).jpg,https://www.youtube.com/watch?v=bsrvNVzaYrU
6,-E9chn_gtfY,코딩 한줄도 안했음 ㅠㅠ (안드레 카파시),artifacts/bzcf_thumbnails/thumbs/006_코딩 한줄도 안했음 ㅠㅠ (안드레 카파시).jpg,https://www.youtube.com/watch?v=-E9chn_gtfY
7,22rHtB98pd0,어짜피 한번인데 맘대로 사세요 제발로,artifacts/bzcf_thumbnails/thumbs/007_어짜피 한번인데 맘대로 사세요 제발로.jpg,https://www.youtube.com/watch?v=22rHtB98pd0
8,04EO9Qqi_Wk,Artificial intelligence is stupid! It's stupid! (Yan LeCun),artifacts/bzcf_thumbnails/thumbs/008_Artificial intelligence is stupid! It's stupid! (Yan LeCun).jpg,https://www.youtube.com/watch?v=04EO9Qqi_Wk
9,mxxf_o_jrPk,"'정답, 찍어줄게' (데미스 하사비스)","artifacts/bzcf_thumbnails/thumbs/009_'정답, 찍어줄게' (데미스 하사비스).jpg",https://www.youtube.com/watch?v=mxxf_o_jrPk
10,cboYfv5PYDg,'눈이 떠지는 영상'  (로빈후드 CEO),artifacts/bzcf_thumbnails/thumbs/010_'눈이 떠지는 영상' (로빈후드 CEO).jpg,https://www.youtube.com/watch?v=cboYfv5PYDg
11,djCrbyyY7D0,Gaslighting that you can succeed if you try,artifacts/bzcf_thumbnails/thumbs/011_Gaslighting that you can succeed if you try.jpg,https://www.youtube.com/watch?v=djCrbyyY7D0
12,3A67nkTR_50,미국 걱정 하지마라 (JP모건체이스 회장),artifacts/bzcf_thumbnails/thumbs/012_미국 걱정 하지마라 (JP모건체이스 회장).jpg,https://www.youtube.com/watch?v=3A67nkTR_50
13,hD5wqxB9txc,"나 젠슨황, 미래가 보인다","artifacts/bzcf_thumbnails/thumbs/013_나 젠슨황, 미래가 보인다.jpg",https://www.youtube.com/watch?v=hD5wqxB9txc
14,2ymvyxlwrfc,"""사업 잘하는 사람은 이유가 있다"" (세콰이어 캐피탈)",artifacts/bzcf_thumbnails/thumbs/014_사업 잘하는 사람은 이유가 있다 (세콰이어 캐피탈).jpg,https://www.youtube.com/watch?v=2ymvyxlwrfc
15,TlpFc7x8SHo,AI-native organization (Twitter founder Jack Dorsey),artifacts/bzcf_thumbnails/thumbs/015_AI-native organization (Twitter founder Jack Dorsey).jpg,https://www.youtube.com/watch?v=TlpFc7x8SHo
16,_Q35uHjJVzw,"""운명의 짝, 그런 거 없다."" (알랭드 보통)","artifacts/bzcf_thumbnails/thumbs/016_운명의 짝, 그런 거 없다. (알랭드 보통).jpg",https://www.youtube.com/watch?v=_Q35uHjJVzw
17,L7pMU7BwplY,High-level conversation (former Google representative),artifacts/bzcf_thumbnails/thumbs/017_High-level conversation (former Google representative).jpg,https://www.youtube.com/watch?v=L7pMU7BwplY
18,RNnN7qtVDM0,제발 필요한 일만 하세요,artifacts/bzcf_thumbnails/thumbs/018_제발 필요한 일만 하세요.jpg,https://www.youtube.com/watch?v=RNnN7qtVDM0
19,KEsIXq6NG3o,"""잡생각 금지"" (엔비디아 젠슨 황)",artifacts/bzcf_thumbnails/thumbs/019_잡생각 금지 (엔비디아 젠슨 황).jpg,https://www.youtube.com/watch?v=KEsIXq6NG3o
20,laj9Xpp9F1M,Korean Translation | Warren Buffett Official Interview After Retirement,artifacts/bzcf_thumbnails/thumbs/020_Korean Translation Warren Buffett Official Interview After Retirement.jpg,https://www.youtube.com/watch?v=laj9Xpp9F1M
21,wA80QMgLMGg,살자 제발 맘대로 (짐 캐리),artifacts/bzcf_thumbnails/thumbs/021_살자 제발 맘대로 (짐 캐리).jpg,https://www.youtube.com/watch?v=wA80QMgLMGg
22,QQXCPn-XfOY,"""중국을 객관적으로 보자"" (엔비디아 젠슨황)",artifacts/bzcf_thumbnails/thumbs/022_중국을 객관적으로 보자 (엔비디아 젠슨황).jpg,https://www.youtube.com/watch?v=QQXCPn-XfOY
23,YiHf4sVHays,"""그냥 엔비디아 사시면 됩니다""",artifacts/bzcf_thumbnails/thumbs/023_그냥 엔비디아 사시면 됩니다.jpg,https://www.youtube.com/watch?v=YiHf4sVHays
24,KnIA9c3ka_M,"피터틸, 안두릴, 그리고 은행","artifacts/bzcf_thumbnails/thumbs/024_피터틸, 안두릴, 그리고 은행.jpg",https://www.youtube.com/watch?v=KnIA9c3ka_M
25,4jH_nFzt0Ng,"""호들갑 떨지마"" (하워드 막스)",artifacts/bzcf_thumbnails/thumbs/025_호들갑 떨지마 (하워드 막스).jpg,https://www.youtube.com/watch?v=4jH_nFzt0Ng
26,KmLJRg-ajG0,"""개발은 이제 배우지마"" (앤트로픽 대표)",artifacts/bzcf_thumbnails/thumbs/026_개발은 이제 배우지마 (앤트로픽 대표).jpg,https://www.youtube.com/watch?v=KmLJRg-ajG0
27,FC_RA_7b-zU,"""핸드폰좀 그만 봐"" (타일러 더 크리에이터)",artifacts/bzcf_thumbnails/thumbs/027_핸드폰좀 그만 봐 (타일러 더 크리에이터).jpg,https://www.youtube.com/watch?v=FC_RA_7b-zU
28,T8RD1OZ01Pw,"""일론에게 풀베팅 간다"" (테슬라 초기 투자자 론 바론)",artifacts/bzcf_thumbnails/thumbs/028_일론에게 풀베팅 간다 (테슬라 초기 투자자 론 바론).jpg,https://www.youtube.com/watch?v=T8RD1OZ01Pw
29,NrtrXIgX2E8,"""테슬라 반도체 만든다""",artifacts/bzcf_thumbnails/thumbs/029_테슬라 반도체 만든다.jpg,https://www.youtube.com/watch?v=NrtrXIgX2E8
30,5Y431jwqTiU,반도체 이제 10% 왔다 (반도체 전설 짐켈러),artifacts/bzcf_thumbnails/thumbs/030_반도체 이제 10% 왔다 (반도체 전설 짐켈러).jpg,https://www.youtube.com/watch?v=5Y431jwqTiU
31,kJ1xwyAxcpQ,"""나는 봤어 미래를"" (일론 머스크)",artifacts/bzcf_thumbnails/thumbs/031_나는 봤어 미래를 (일론 머스크).jpg,https://www.youtube.com/watch?v=kJ1xwyAxcpQ
32,kUUJ1rnQwGs,"""그냥 테슬라 사세요"" (일론 머스크)",artifacts/bzcf_thumbnails/thumbs/032_그냥 테슬라 사세요 (일론 머스크).jpg,https://www.youtube.com/watch?v=kUUJ1rnQwGs
33,cVPV-iTvmYQ,"""인공지능은 쓰나미"" (앤트로픽 CEO 인터뷰)",artifacts/bzcf_thumbnails/thumbs/033_인공지능은 쓰나미 (앤트로픽 CEO 인터뷰).jpg,https://www.youtube.com/watch?v=cVPV-iTvmYQ
34,Gag2kz3C7_8,"""투자하시면 꼭 보세요"" (스탠리 드러켄밀러)",artifacts/bzcf_thumbnails/thumbs/034_투자하시면 꼭 보세요 (스탠리 드러켄밀러).jpg,https://www.youtube.com/watch?v=Gag2kz3C7_8
35,6CyopBiXtEI,"""I'm betting on you"" (Skin in the Game, Nassim Taleb)","artifacts/bzcf_thumbnails/thumbs/035_I'm betting on you (Skin in the Game, Nassim Taleb).jpg",https://www.youtube.com/watch?v=6CyopBiXtEI
36,AEZw0oEkfR0,"The ""Time Management"" of a 5 Trillion Won Company Founder",artifacts/bzcf_thumbnails/thumbs/036_The Time Management of a 5 Trillion Won Company Founder.jpg,https://www.youtube.com/watch?v=AEZw0oEkfR0
37,0dlxRdbq-0Q,"""나에게 시간이 더 있다면""",artifacts/bzcf_thumbnails/thumbs/037_나에게 시간이 더 있다면.jpg,https://www.youtube.com/watch?v=0dlxRdbq-0Q
38,MI1uF10laRs,"""시대 흐름에 반하지 마"" (오픈클로 개발자)",artifacts/bzcf_thumbnails/thumbs/038_시대 흐름에 반하지 마 (오픈클로 개발자).jpg,https://www.youtube.com/watch?v=MI1uF10laRs
39,s0yLaj-3-aw,"""24살 창업, 29살 코스닥 상장"" (다음 창업자 이택경 대표) (현 매쉬업벤처스 대표)","artifacts/bzcf_thumbnails/thumbs/039_24살 창업, 29살 코스닥 상장 (다음 창업자 이택경 대표) (현 매쉬업벤처스 대표).jpg",https://www.youtube.com/watch?v=s0yLaj-3-aw
40,YEzALU9tWBg,"""What a 50-Year-Old Billionaire Realized"" (Chamath)",artifacts/bzcf_thumbnails/thumbs/040_What a 50-Year-Old Billionaire Realized (Chamath).jpg,https://www.youtube.com/watch?v=YEzALU9tWBg
41,7apM-N2ImOs,개 쩌는 대화 (안드레 카파시),artifacts/bzcf_thumbnails/thumbs/041_개 쩌는 대화 (안드레 카파시).jpg,https://www.youtube.com/watch?v=7apM-N2ImOs
42,DXM9iD6OB-4,"""History repeats itself"" (Ray Dalio)",artifacts/bzcf_thumbnails/thumbs/042_History repeats itself (Ray Dalio).jpg,https://www.youtube.com/watch?v=DXM9iD6OB-4
43,VtHC0MabgRI,"""Now you figure it out"" (Trump's official statement)",artifacts/bzcf_thumbnails/thumbs/043_Now you figure it out (Trump's official statement).jpg,https://www.youtube.com/watch?v=VtHC0MabgRI
44,Dl1IuW8suJ0,Anthropic is a patriotic company.,artifacts/bzcf_thumbnails/thumbs/044_Anthropic is a patriotic company.jpg,https://www.youtube.com/watch?v=Dl1IuW8suJ0
45,BGJY0uO7p0k,"""중국은 대체 못해"" (젠슨 황)",artifacts/bzcf_thumbnails/thumbs/045_중국은 대체 못해 (젠슨 황).jpg,https://www.youtube.com/watch?v=BGJY0uO7p0k
46,OnNSlKSDhDM,세상은 이미 바뀌었는데 (샘 알트먼),artifacts/bzcf_thumbnails/thumbs/046_세상은 이미 바뀌었는데 (샘 알트먼).jpg,https://www.youtube.com/watch?v=OnNSlKSDhDM
47,HJRpYF7FKso,"""다들 죽기살기 모드"" (실리콘밸리)",artifacts/bzcf_thumbnails/thumbs/047_다들 죽기살기 모드 (실리콘밸리).jpg,https://www.youtube.com/watch?v=HJRpYF7FKso
48,6sVXPqlimuU,시간관리 3법칙 딱알려준다 (칼 뉴포트),artifacts/bzcf_thumbnails/thumbs/048_시간관리 3법칙 딱알려준다 (칼 뉴포트).jpg,https://www.youtube.com/watch?v=6sVXPqlimuU
49,Kt7cLrDMFwQ,The Dopamine-Filled Era (Onboard Group CEO Lee Hyeon-jong),artifacts/bzcf_thumbnails/thumbs/049_The Dopamine-Filled Era (Onboard Group CEO Lee Hyeon-jong).jpg,https://www.youtube.com/watch?v=Kt7cLrDMFwQ
50,y7R3oZDy7pA,"""내 말 들으라고"" (블랙록 래리핑크)",artifacts/bzcf_thumbnails/thumbs/050_내 말 들으라고 (블랙록 래리핑크).jpg,https://www.youtube.com/watch?v=y7R3oZDy7pA
51,UJ2wokHa4sU,"""싱가포르가 성공한 이유"" (리콴유)",artifacts/bzcf_thumbnails/thumbs/051_싱가포르가 성공한 이유 (리콴유).jpg,https://www.youtube.com/watch?v=UJ2wokHa4sU
52,7Re9B_yDzI0,1시간 볼만한 가치 있다 (a16z 풀인터뷰),artifacts/bzcf_thumbnails/thumbs/052_1시간 볼만한 가치 있다 (a16z 풀인터뷰).jpg,https://www.youtube.com/watch?v=7Re9B_yDzI0
53,56LR8Tmf6Jc,가난해지는 일본,artifacts/bzcf_thumbnails/thumbs/053_가난해지는 일본.jpg,https://www.youtube.com/watch?v=56LR8Tmf6Jc
54,e4O2jqQMG2s,오픈클로 개발자 단독 인터뷰,artifacts/bzcf_thumbnails/thumbs/054_오픈클로 개발자 단독 인터뷰.jpg,https://www.youtube.com/watch?v=e4O2jqQMG2s
55,gp3GzFFkz7Q,일론머스크는 천재가 맞다 (세콰이어 캐피탈 - SpaceX투자자),artifacts/bzcf_thumbnails/thumbs/055_일론머스크는 천재가 맞다 (세콰이어 캐피탈 - SpaceX투자자).jpg,https://www.youtube.com/watch?v=gp3GzFFkz7Q
56,gpwK8RMjr_g,"""탁상공론 개 싫다"" (팔란티어 알렉스카프)",artifacts/bzcf_thumbnails/thumbs/056_탁상공론 개 싫다 (팔란티어 알렉스카프).jpg,https://www.youtube.com/watch?v=gpwK8RMjr_g
57,u9BHHLOOgKE,제미나이는 독보적이다 (구글 딥마인드),artifacts/bzcf_thumbnails/thumbs/057_제미나이는 독보적이다 (구글 딥마인드).jpg,https://www.youtube.com/watch?v=u9BHHLOOgKE
58,95Izndx_caA,지금이라도 사라 비트코인,artifacts/bzcf_thumbnails/thumbs/058_지금이라도 사라 비트코인.jpg,https://www.youtube.com/watch?v=95Izndx_caA
59,_yumjhDbDWk,생각의 외주화,artifacts/bzcf_thumbnails/thumbs/059_생각의 외주화.jpg,https://www.youtube.com/watch?v=_yumjhDbDWk
60,y_xGQNJT-NQ,"""길어봐야 2년"" (앤트로픽)",artifacts/bzcf_thumbnails/thumbs/060_길어봐야 2년 (앤트로픽).jpg,https://www.youtube.com/watch?v=y_xGQNJT-NQ
61,bTQM3oEW0gk,가슴이 웅장해지는 (딥마인드 - 앤트로픽),artifacts/bzcf_thumbnails/thumbs/061_가슴이 웅장해지는 (딥마인드 - 앤트로픽).jpg,https://www.youtube.com/watch?v=bTQM3oEW0gk
62,VgSWTMmCnHg,China's ridiculous development plan,artifacts/bzcf_thumbnails/thumbs/062_China's ridiculous development plan.jpg,https://www.youtube.com/watch?v=VgSWTMmCnHg
63,mGdYR0bQ5wc,나는 미래를 만드는 중 (일론 머스크),artifacts/bzcf_thumbnails/thumbs/063_나는 미래를 만드는 중 (일론 머스크).jpg,https://www.youtube.com/watch?v=mGdYR0bQ5wc
64,RfRkHHT-Zq0,정말요 (구글 딥마인드),artifacts/bzcf_thumbnails/thumbs/064_정말요 (구글 딥마인드).jpg,https://www.youtube.com/watch?v=RfRkHHT-Zq0
65,AdY5ZFN3ceM,현대는 로봇회사다,artifacts/bzcf_thumbnails/thumbs/065_현대는 로봇회사다.jpg,https://www.youtube.com/watch?v=AdY5ZFN3ceM
66,Kip-dvYIRrE,이스라엘이 개강한 이유,artifacts/bzcf_thumbnails/thumbs/066_이스라엘이 개강한 이유.jpg,https://www.youtube.com/watch?v=Kip-dvYIRrE
67,GBNBN4K-Osc,"""돈이 전부가 아니야"" (마이클 블룸버그)",artifacts/bzcf_thumbnails/thumbs/067_돈이 전부가 아니야 (마이클 블룸버그).jpg,https://www.youtube.com/watch?v=GBNBN4K-Osc
